Date,Open,High,Low,Close
9/30/2010,10836.04,10948.88,10745.44,10788.05
10/1/2010,10789.7,10866.5,10780.6,10829.7
10/4/2010,10828.85,10853.71,10711.12,10751.27
10/5/2010,10752.78,10965.61,10752.63,10944.72
10/6/2010,10936.79,10974.16,10918.57,10967.65
10/7/2010,10968.41,10998.53,10892.76,10948.58
10/8/2010,10948.5,11032.17,10929.28,11006.48
10/11/2010,11006.93,11030.5,10977.9,11010.34
10/12/2010,11010.79,11053.21,10913.84,11020.4
10/13/2010,11022.82,11155.23,11022.07,11096.08
10/14/2010,11096.99,11112.2,11023.54,11094.57
10/15/2010,11096.01,11141.19,11010.68,11062.78
10/18/2010,11062.63,11159.05,11054.76,11143.69
10/19/2010,11139.6,11139.6,10917.62,10978.62
10/20/2010,10974.52,11152.88,10970.89,11107.97
10/21/2010,11105.24,11213.54,11066.19,11146.57
10/22/2010,11146.4,11159,11109.3,11132.6
10/25/2010,11133.4,11247.6,11132.34,11164.05
10/26/2010,11163.14,11184.82,11087,11169.46
10/27/2010,11168.4,11168.4,11020.82,11126.28
10/28/2010,11127.34,11179.34,11052.6,11113.95
10/29/2010,11120.45,11131.01,11075.8,11118.49
11/1/2010,11120.3,11244.27,11062.33,11124.62
11/2/2010,11125.22,11219.52,11125.22,11188.72
11/3/2010,11184.88,11226.64,11097.37,11215.13
11/4/2010,11216.65,11440.37,11216.65,11434.84
11/5/2010,11435.22,11451.53,11393.52,11444.08
11/8/2010,11439.54,11439.61,11362.53,11406.84
11/9/2010,11403.59,11421.14,11303.19,11346.75
11/10/2010,11342.81,11366.16,11255.02,11357.04
11/11/2010,11326.69,11326.77,11231.22,11283.1
11/12/2010,11281.28,11283.7,11143.84,11192.58
11/15/2010,11194.02,11280.9,11189.1,11201.97
11/16/2010,11194.7,11194.7,10978.93,11023.5
11/17/2010,11017.83,11042.16,10990.81,11007.88
11/18/2010,11010.49,11199.69,11010.34,11181.23
11/19/2010,11180.77,11206.17,11119.24,11203.55
11/22/2010,11201.66,11206.05,11054.53,11178.58
11/23/2010,11177.6,11180.17,10992.17,11036.37
11/24/2010,11037.35,11195.99,11037.35,11187.28
11/26/2010,11183.5,11183.5,11067.2,11092
11/29/2010,11083.8,11083.8,10929.3,11052.5
11/30/2010,11049.7,11062.6,10943,11006
12/1/2010,11007.2,11276.1,11007.2,11255.8
12/2/2010,11255.93,11373.8,11255.85,11362.41
12/3/2010,11361.9,11388.9,11318.8,11382.1
12/6/2010,11381.33,11392.08,11350.27,11362.19
12/7/2010,11363.9,11450.9,11354.1,11359.2
12/8/2010,11354.3,11389.09,11327.49,11372.48
12/9/2010,11370.4,11413.4,11331.5,11370.1
12/10/2010,11370.44,11413.69,11357.72,11410.32
12/13/2010,11406.16,11480.03,11405.33,11428.56
12/14/2010,11429.2,11514.1,11428.9,11476.5
12/15/2010,11475.64,11519.04,11445.67,11457.47
12/16/2010,11458,11514.84,11421.3,11499.25
12/17/2010,11499.02,11503.18,11451,11491.91
12/20/2010,11491.3,11517.07,11442.68,11478.13
12/21/2010,11478.4,11549.1,11478.3,11533.2
12/22/2010,11532.17,11566.99,11528.08,11559.49
