Date,Close
10/7/2010,59.92
10/8/2010,60.44
10/11/2010,60.51
10/12/2010,60.77
10/13/2010,61.3
10/14/2010,61.42
10/15/2010,61.58
10/18/2010,61.74
10/19/2010,61.07
10/20/2010,61.56
10/21/2010,61.65
10/22/2010,61.83
10/25/2010,62.1
10/26/2010,61.93
10/27/2010,61.65
10/28/2010,61.76
10/29/2010,61.99
11/1/2010,61.92
11/2/2010,62.16
11/3/2010,62.39
11/4/2010,63.28
11/5/2010,63.27
11/8/2010,63.26
11/9/2010,62.89
11/10/2010,62.91
11/11/2010,62.99
11/12/2010,62.5
11/15/2010,62.57
11/16/2010,61.71
11/17/2010,61.87
11/18/2010,62.64
11/19/2010,62.8
11/22/2010,62.87
11/23/2010,62.07
11/24/2010,62.61
11/26/2010,62.49
11/29/2010,62.18
11/30/2010,61.85
12/1/2010,63
12/2/2010,63.43
12/3/2010,63.55
12/6/2010,63.47
12/7/2010,63.52
12/8/2010,63.77
12/9/2010,63.96
12/10/2010,64.04
12/13/2010,64.02
12/14/2010,64.21
12/15/2010,64.25
12/16/2010,64.85
12/17/2010,65.1
12/20/2010,65.25
12/21/2010,65.32
12/22/2010,64.91
12/23/2010,64.77
12/27/2010,64.58
12/28/2010,64.54
12/29/2010,64.58
12/30/2010,64.57
12/31/2010,64.55
1/3/2011,64.83
1/4/2011,64.52
1/5/2011,64.84
1/6/2011,64.75
1/7/2011,64.38
1/10/2011,64.51
1/11/2011,64.47
1/12/2011,65.01
1/13/2011,65.08
1/14/2011,65.14
1/18/2011,65.1
1/19/2011,64.67
1/20/2011,64.56
1/21/2011,64.54
1/24/2011,64.89
1/25/2011,64.97
1/26/2011,65.1
1/27/2011,64.74
1/28/2011,63.47
1/31/2011,63.5
2/1/2011,63.91
2/2/2011,63.65
2/3/2011,63.98
2/4/2011,64.46
2/7/2011,64.8
2/8/2011,65.21
2/9/2011,65.32
2/10/2011,64.99
2/11/2011,65.66
2/14/2011,65.45
2/15/2011,65.28
2/16/2011,65.52
2/17/2011,66.01
2/18/2011,66.09
2/22/2011,65.43
2/23/2011,65.07
2/24/2011,64.9
2/25/2011,65.46
2/28/2011,65.59
3/1/2011,64.91
3/2/2011,64.98
3/3/2011,65.79
3/4/2011,65.5
3/7/2011,65.14
3/8/2011,65.84
3/9/2011,65.96
3/10/2011,65.41
3/11/2011,65.51
3/14/2011,65.03
3/15/2011,64.47
3/16/2011,63.47
3/17/2011,63.84
3/18/2011,64.1
3/21/2011,65.01
3/22/2011,64.87
3/23/2011,65.15
3/24/2011,65.77
3/25/2011,65.66
3/28/2011,65.54
3/29/2011,65.85
3/30/2011,66.33
3/31/2011,66.23
4/1/2011,66.69
4/4/2011,66.84
4/5/2011,66.94
4/6/2011,66.93
4/7/2011,66.77
4/8/2011,66.43
4/11/2011,66.61
4/12/2011,66.73
4/13/2011,66.84
4/14/2011,67.17
4/15/2011,67.41
4/18/2011,66.84
4/19/2011,67.06
4/20/2011,67.73
4/21/2011,67.9
4/25/2011,67.72
4/26/2011,68.1
4/27/2011,68.52
4/28/2011,69.03
4/29/2011,69.18
5/2/2011,69.18
5/3/2011,69.14
5/4/2011,69.1
5/5/2011,68.63
5/6/2011,68.84
5/9/2011,68.99
5/10/2011,69.43
5/11/2011,69.18
5/12/2011,69.92
5/13/2011,69.75
5/16/2011,69.55
5/17/2011,69.55
5/18/2011,70.05
5/19/2011,70.41
5/20/2011,70.05
5/23/2011,69.47
5/24/2011,69.41
5/25/2011,69.19
5/26/2011,69.51
5/27/2011,69.82
5/31/2011,70.56
6/1/2011,69.53
6/2/2011,68.85
6/3/2011,68.04
6/6/2011,67.56
6/7/2011,67.41
6/8/2011,67.14
6/9/2011,67.67
6/10/2011,66.81
6/13/2011,67.11
6/14/2011,68.05
6/15/2011,66.97
6/16/2011,67.19
6/17/2011,67.58
6/20/2011,68.19
6/21/2011,68.59
6/22/2011,68.19
6/23/2011,67.81
6/24/2011,67.07
6/27/2011,67.44
6/28/2011,67.99
6/29/2011,68.39
6/30/2011,68.99
7/1/2011,69.75
7/5/2011,69.85
7/6/2011,70.11
7/7/2011,70.63
7/8/2011,70.37
7/11/2011,69.49
7/12/2011,69.22
7/13/2011,69.29
7/14/2011,68.93
7/15/2011,69.14
7/18/2011,68.57
7/19/2011,69.71
7/20/2011,69.5
7/21/2011,70.12
7/22/2011,70.09
7/25/2011,69.4
7/26/2011,69.02
7/27/2011,68.03
7/28/2011,68.13
7/29/2011,67.74
8/1/2011,67.56
8/2/2011,66.28
8/3/2011,66.79
8/4/2011,63.96
8/5/2011,64.84
8/8/2011,61.71
8/9/2011,63.48
8/10/2011,61.29
8/11/2011,63.5
8/12/2011,64.37
8/15/2011,65.32
8/16/2011,64.92
8/17/2011,65.12
8/18/2011,63.27
8/19/2011,62.45
8/22/2011,62.63
8/23/2011,64.59
8/24/2011,65.07
8/25/2011,64.01
8/26/2011,64.86
8/29/2011,66.28
8/30/2011,66.54
8/31/2011,66.73
9/1/2011,66.29
9/2/2011,65.09
9/6/2011,64.64
9/7/2011,65.95
9/8/2011,65.65
9/9/2011,63.96
9/12/2011,64
9/13/2011,64.53
9/14/2011,65.46
9/15/2011,66.33
9/16/2011,66.71
9/19/2011,66.14
9/20/2011,66.11
9/21/2011,64.41
9/22/2011,62.92
9/23/2011,62.96
9/26/2011,64.13
9/27/2011,64.86
9/28/2011,63.54
9/29/2011,64.01
9/30/2011,62.91
10/3/2011,61.46
10/4/2011,62.54
10/5/2011,63.19
10/6/2011,64.39
10/7/2011,64.29
10/10/2011,65.74
10/11/2011,65.68
10/12/2011,66.4
10/13/2011,66.3
10/14/2011,67.08
10/17/2011,65.93
10/18/2011,66.82
10/19/2011,66.02
10/20/2011,66.52
10/21/2011,67.85
10/24/2011,67.92
10/25/2011,66.9
10/26/2011,67.34
10/27/2011,67.95
10/28/2011,68.66
10/31/2011,67.55
11/1/2011,66.02
11/2/2011,66.69
11/3/2011,67.66
11/4/2011,67.17
11/7/2011,67.4
11/8/2011,68.14
11/9/2011,66.12
11/10/2011,66.61
11/11/2011,67.5
11/14/2011,67.06
11/15/2011,67.44
11/16/2011,66.69
11/17/2011,66.04
11/18/2011,66.12
11/21/2011,65.08
11/22/2011,65.11
11/23/2011,64.09
11/25/2011,64.02
11/28/2011,65.46
11/29/2011,65.91
11/30/2011,67.94
12/1/2011,67.64
12/2/2011,67.69
12/5/2011,68.18
12/6/2011,68.25
12/7/2011,68.26
12/8/2011,67.25
12/9/2011,68.29
12/12/2011,67.56
12/13/2011,66.87
12/14/2011,66.23
12/15/2011,66.85
12/16/2011,66.81
12/19/2011,66.46
12/20/2011,67.76
12/21/2011,68.66
12/22/2011,68.11
12/23/2011,68.74
12/27/2011,68.75
12/28/2011,68.06
12/29/2011,68.72
12/30/2011,68.48
1/3/2012,68.61
1/4/2012,68.76
1/5/2012,69.02
1/6/2012,68.66
1/9/2012,68.83
1/10/2012,69.3
1/11/2012,68.98
1/12/2012,69.2
1/13/2012,68.9
1/17/2012,69.14
1/18/2012,69.49
1/19/2012,69.59
1/20/2012,69.61
1/23/2012,69.38
1/24/2012,69.35
1/25/2012,70.3
1/26/2012,69.86
1/27/2012,69.42
1/30/2012,69.07
1/31/2012,69.12
2/1/2012,69.63
2/2/2012,69.9
2/3/2012,70.53
2/6/2012,70.58
2/7/2012,70.76
2/8/2012,70.76
2/9/2012,71.05
2/10/2012,70.6
2/13/2012,71.08
2/14/2012,71.26
2/15/2012,71.08
2/16/2012,71.78
2/17/2012,71.81
2/21/2012,71.64
2/22/2012,71.51
2/23/2012,71.86
2/24/2012,71.94
2/27/2012,72.07
2/28/2012,72.21
2/29/2012,72.24
3/1/2012,72.49
3/2/2012,72.47
3/5/2012,72.46
3/6/2012,71.46
3/7/2012,71.64
3/8/2012,72.37
3/9/2012,72.63
3/12/2012,72.77
3/13/2012,73.6
3/14/2012,73.36
3/15/2012,73.66
3/16/2012,73.37
3/19/2012,73.58
3/20/2012,73.55
3/21/2012,73.68
3/22/2012,73.62
3/23/2012,73.63
3/26/2012,74
3/27/2012,73.9
3/28/2012,73.62
3/29/2012,73.82
3/30/2012,74.12
4/2/2012,74.76
4/3/2012,74.49
4/4/2012,74.2
4/5/2012,74.1
4/9/2012,73.3
4/10/2012,72.2
4/11/2012,72.72
4/12/2012,73.05
4/13/2012,72.94
4/16/2012,73.06
4/17/2012,73.9
4/18/2012,73.75
4/19/2012,73.25
4/20/2012,73.75
4/23/2012,72.93
4/24/2012,72.97
4/25/2012,73.86
4/26/2012,74.45
4/27/2012,74.31
4/30/2012,73.96
5/1/2012,74.17
5/2/2012,74.45
5/3/2012,74.07
5/4/2012,73.3
5/7/2012,73.22
5/8/2012,72.81
5/9/2012,72.32
5/10/2012,72.65
5/11/2012,72.58
5/14/2012,72.12
5/15/2012,71.94
5/16/2012,72.18
5/17/2012,70.99
5/18/2012,70.52
5/21/2012,71.15
5/22/2012,71.21
5/23/2012,71.21
5/24/2012,71.74
5/25/2012,71.72
5/29/2012,72.33
5/30/2012,71.6
5/31/2012,71.38
6/1/2012,69.76
6/4/2012,69.6
6/5/2012,69.74
6/6/2012,70.77
6/7/2012,71.01
6/8/2012,71.49
6/11/2012,70.91
6/12/2012,71.4
6/13/2012,70.94
6/14/2012,71.71
6/15/2012,71.97
6/18/2012,72.12
6/19/2012,72.01
6/20/2012,71.65
6/21/2012,70.46
6/22/2012,70.66
6/25/2012,69.92
6/26/2012,70.13
6/27/2012,70.52
6/28/2012,70.58
6/29/2012,71.8
7/2/2012,72.13
7/3/2012,72.53
7/5/2012,72.53
7/6/2012,72.29
7/9/2012,72.06
7/10/2012,71.92
7/11/2012,71.76
7/12/2012,71.66
7/13/2012,72.62
7/16/2012,72.2
7/17/2012,72.58
7/18/2012,72.85
7/19/2012,73.08
7/20/2012,72.51
7/23/2012,71.81
7/24/2012,71.3
7/25/2012,71.22
7/26/2012,72.47
7/27/2012,73.55
7/30/2012,73.68
7/31/2012,73.26
8/1/2012,72.71
8/2/2012,72.15
8/3/2012,73.52
8/6/2012,73.67
8/7/2012,73.76
8/8/2012,73.99
8/9/2012,73.82
8/10/2012,73.74
