Date,Close
10/7/2010,28.13
10/8/2010,28.19
10/11/2010,28.22
10/12/2010,28.29
10/13/2010,28.53
10/14/2010,28.54
10/15/2010,28.61
10/18/2010,28.71
10/19/2010,28.36
10/20/2010,28.61
10/21/2010,28.71
10/22/2010,28.81
10/25/2010,28.88
10/26/2010,28.72
10/27/2010,28.57
10/28/2010,28.67
10/29/2010,28.77
11/1/2010,28.65
11/2/2010,28.82
11/3/2010,28.91
11/4/2010,29.26
11/5/2010,29.11
11/8/2010,29.06
11/9/2010,28.91
11/10/2010,28.82
11/11/2010,28.85
11/12/2010,28.71
11/15/2010,28.72
11/16/2010,28.4
11/17/2010,28.41
11/18/2010,28.79
11/19/2010,28.81
11/22/2010,28.81
11/23/2010,28.47
11/24/2010,28.69
11/26/2010,28.5
11/29/2010,28.45
11/30/2010,28.32
12/1/2010,28.78
12/2/2010,28.8
12/3/2010,28.81
12/6/2010,28.74
12/7/2010,28.9
12/8/2010,29.01
12/9/2010,29.09
12/10/2010,29.14
12/13/2010,29.14
12/14/2010,29.28
12/15/2010,29.31
12/16/2010,29.57
12/17/2010,29.36
12/20/2010,29.33
12/21/2010,29.26
12/22/2010,29.39
12/23/2010,29.4
12/27/2010,29.26
12/28/2010,29.34
12/29/2010,29.35
12/30/2010,29.3
12/31/2010,29.31
1/3/2011,29.35
1/4/2011,29.27
1/5/2011,29.28
1/6/2011,29.18
1/7/2011,29.03
1/10/2011,29.05
1/11/2011,29.03
1/12/2011,29.27
1/13/2011,29.33
1/14/2011,29.33
1/18/2011,29.35
1/19/2011,29.29
1/20/2011,29.44
1/21/2011,29.49
1/24/2011,29.54
1/25/2011,29.64
1/26/2011,29.56
1/27/2011,29.26
1/28/2011,28.98
1/31/2011,28.88
2/1/2011,29.09
2/2/2011,28.98
2/3/2011,29.13
2/4/2011,29.3
2/7/2011,29.34
2/8/2011,29.48
2/9/2011,29.53
2/10/2011,29.42
2/11/2011,29.58
2/14/2011,29.45
2/15/2011,29.44
2/16/2011,29.52
2/17/2011,29.72
2/18/2011,29.8
2/22/2011,29.59
2/23/2011,29.52
2/24/2011,29.4
2/25/2011,29.55
2/28/2011,29.72
3/1/2011,29.49
3/2/2011,29.41
3/3/2011,29.71
3/4/2011,29.58
3/7/2011,29.5
3/8/2011,29.76
3/9/2011,29.91
3/10/2011,29.71
3/11/2011,29.73
3/14/2011,29.52
3/15/2011,29.26
3/16/2011,28.84
3/17/2011,28.98
3/18/2011,29.05
3/21/2011,29.41
3/22/2011,29.37
3/23/2011,29.42
3/24/2011,29.69
3/25/2011,29.69
3/28/2011,29.68
3/29/2011,29.82
3/30/2011,29.98
3/31/2011,29.92
4/1/2011,30.07
4/4/2011,30.13
4/5/2011,30.16
4/6/2011,30.3
4/7/2011,30.34
4/8/2011,30.25
4/11/2011,30.41
4/12/2011,30.51
4/13/2011,30.53
4/14/2011,30.71
4/15/2011,30.84
4/18/2011,30.67
4/19/2011,30.73
4/20/2011,30.89
4/21/2011,30.9
4/25/2011,30.82
4/26/2011,31.03
4/27/2011,31.23
4/28/2011,31.43
4/29/2011,31.52
5/2/2011,31.56
5/3/2011,31.64
5/4/2011,31.6
5/5/2011,31.36
5/6/2011,31.44
5/9/2011,31.55
5/10/2011,31.74
5/11/2011,31.68
5/12/2011,32.15
5/13/2011,32.11
5/16/2011,32.12
5/17/2011,32.19
5/18/2011,32.24
5/19/2011,32.42
5/20/2011,32.32
5/23/2011,32.1
5/24/2011,32.07
5/25/2011,31.86
5/26/2011,31.91
5/27/2011,32.04
5/31/2011,32.31
6/1/2011,31.98
6/2/2011,31.61
6/3/2011,31.31
6/6/2011,31.15
6/7/2011,31.08
6/8/2011,31.1
6/9/2011,31.27
6/10/2011,30.91
6/13/2011,31.05
6/14/2011,31.38
6/15/2011,30.91
6/16/2011,31.16
6/17/2011,31.14
6/20/2011,31.37
6/21/2011,31.34
6/22/2011,31.14
6/23/2011,30.86
6/24/2011,30.61
6/27/2011,30.75
6/28/2011,30.81
6/29/2011,30.99
6/30/2011,31.23
7/1/2011,31.47
7/5/2011,31.46
7/6/2011,31.63
7/7/2011,31.85
7/8/2011,31.74
7/11/2011,31.51
7/12/2011,31.41
7/13/2011,31.41
7/14/2011,31.27
7/15/2011,31.36
7/18/2011,31.16
7/19/2011,31.59
7/20/2011,31.54
7/21/2011,31.8
7/22/2011,31.74
7/25/2011,31.45
7/26/2011,31.37
